idx,text,files,url,title,published_date,deadline_date,tag
드림스폰_일반장학금_1,,,https://www.dreamspon.com/scholarship/view.html?idx=7422,청년 생활안정지원사업,,2024-11-10,"['기타지원', '청년', '특수계층']"
드림스폰_일반장학금_2,,,https://www.dreamspon.com/scholarship/view.html?idx=7801,도봉구 미취업청년 어학·자격증 응시료 지원,,2024-11-10,"['기타지원', '청년', '지역기준']"
드림스폰_일반장학금_3,,,https://www.dreamspon.com/scholarship/view.html?idx=7815,인천시 인재육성장학 (2024년 하반기 재공고),,2024-11-12,"['장학금', '고등학생', '대학생']"
드림스폰_일반장학금_4,,,https://www.dreamspon.com/scholarship/view.html?idx=7816,함양군 근로자 자녀 장학 (2024년 3차),,2024-11-12,"['장학금', '대학생', '전문대']"
드림스폰_일반장학금_5,,,https://www.dreamspon.com/scholarship/view.html?idx=7784,양산시 학자금대출 이자지원 (2024년),,2024-11-13,"['대출지원', '대학생', '전문대']"
드림스폰_일반장학금_6,,,https://www.dreamspon.com/scholarship/view.html?idx=7817,경기북부 작은연구 지원사업,,2024-11-14,"['기타지원', '연구지원', '일반인']"
드림스폰_일반장학금_7,,,https://www.dreamspon.com/scholarship/view.html?idx=7765,STX장학재단 장학 (2025년),,2024-11-15,"['장학금', '대학생', '4년제']"
드림스폰_일반장학금_8,,,https://www.dreamspon.com/scholarship/view.html?idx=7787,대구광역시 저소득주민 장학 (2024년),,2024-11-15,"['장학금', '중학생', '고등학생']"
드림스폰_일반장학금_9,,,https://www.dreamspon.com/scholarship/view.html?idx=7788,두산연강재단 장학 (2025년),,2024-11-15,"['장학금', '대학생', '4년제']"
드림스폰_일반장학금_10,,,https://www.dreamspon.com/scholarship/view.html?idx=7789,소방안전장학 (2024년),,2024-11-15,"['장학금', '대학생', '전문대']"
드림스폰_일반장학금_11,,,https://www.dreamspon.com/scholarship/view.html?idx=7802,부평구 저소득주민 자녀장학 (2024년),,2024-11-15,"['장학금', '대학생', '지역기준']"
드림스폰_일반장학금_12,,,https://www.dreamspon.com/scholarship/view.html?idx=7803,인천 예술인 종합건강검진 지원 (2024년),,2024-11-15,"['기타지원', '일반인', '예술인']"
드림스폰_일반장학금_13,,,https://www.dreamspon.com/scholarship/view.html?idx=7804,전북 미래산업인재 특기장학 (2024년),,2024-11-15,"['장학금', '고등학생', '대학생']"
드림스폰_일반장학금_14,,,https://www.dreamspon.com/scholarship/view.html?idx=7820,아산시 우수봉사 장학,,2024-11-15,"['장학금', '대학생', '지역기준']"
드림스폰_일반장학금_15,,,https://www.dreamspon.com/scholarship/view.html?idx=7821,통영시 지역대학생 장학,,2024-11-15,"['장학금', '대학생', '지역기준']"
드림스폰_일반장학금_16,,,https://www.dreamspon.com/scholarship/view.html?idx=7822,국가보훈처 보훈가족장학 (2024년 2학기 추가모집),,2024-11-15,"['장학금', '대학생', '대학원생']"
드림스폰_일반장학금_17,,,https://www.dreamspon.com/scholarship/view.html?idx=7823,전기공사공제조합 장학 (2025년),,2024-11-15,"['장학금', '대학생', '성적기준']"
드림스폰_일반장학금_19,,,https://www.dreamspon.com/scholarship/view.html?idx=7824,포니정 해외박사 장학 (2025년),,2024-11-17,"['장학금', '대학원생', '전공기준']"
드림스폰_일반장학금_22,,,https://www.dreamspon.com/scholarship/view.html?idx=7825,통영시 저소득 대학생 장학 (2024년),,2024-11-20,"['장학금', '대학생', '지역기준']"
드림스폰_일반장학금_23,,,https://www.dreamspon.com/scholarship/view.html?idx=7826,숲과나눔 인재양성 연구장학,,2024-11-21,"['장학금', '연구지원', '대학원생']"
드림스폰_일반장학금_24,,,https://www.dreamspon.com/scholarship/view.html?idx=7790,강남구 신혼부부 청년 전월세 대출이자지원 (2024년),,2024-11-22,"['대출지원', '청년', '일반인']"
드림스폰_일반장학금_25,,,https://www.dreamspon.com/scholarship/view.html?idx=7806,제주도 학자금대출 신용회복지원 (2024년),,2024-11-22,"['대출지원', '청년', '지역기준']"
드림스폰_일반장학금_26,,,https://www.dreamspon.com/scholarship/view.html?idx=7808,산청군 향토 장학 (2024년 하반기),,2024-11-22,"['장학금', '초등학생', '중학생']"
드림스폰_일반장학금_27,,,https://www.dreamspon.com/scholarship/view.html?idx=7828,홍천군 저소득 주민자녀 장학 (2024년),,2024-11-22,"['장학금', '고등학생', '대학생']"
드림스폰_일반장학금_28,,,https://www.dreamspon.com/scholarship/view.html?idx=7829,서울대 아시아연구소 방문학자 펠로우십 (2025년 상반기),,2024-11-22,"['연구지원', '대학원생', '일반인']"
드림스폰_일반장학금_30,,,https://www.dreamspon.com/scholarship/view.html?idx=7809,대한장애인체육회 체육장학금,,2024-11-27,"['장학금', '초등학생', '중학생']"
드림스폰_일반장학금_31,,,https://www.dreamspon.com/scholarship/view.html?idx=7830,서울시 예술인 역량강화 프로그램,,2024-11-27,"['기타지원', '일반인', '서울예술인지원센터']"
드림스폰_일반장학금_33,,,https://www.dreamspon.com/scholarship/view.html?idx=7792,안양시 청년 월세 지원사업,,2024-11-29,"['주거지원', '청년', '지역기준']"
드림스폰_일반장학금_34,,,https://www.dreamspon.com/scholarship/view.html?idx=7832,충청북도 결혼비용 대출이자 지원사업,,2024-11-29,"['대출지원', '청년', '신혼부부']"
드림스폰_일반장학금_37,,,https://www.dreamspon.com/scholarship/view.html?idx=7778,안성시 슬기로운 자립생활 지원사업,,2024-11-30,"['기타지원', '청년', '지역기준']"
드림스폰_일반장학금_38,,,https://www.dreamspon.com/scholarship/view.html?idx=7791,안성시 관외 대학생 주거안정비 지원사업,,2024-11-30,"['주거지원', '대학생', '지역기준']"
드림스폰_일반장학금_39,,,https://www.dreamspon.com/scholarship/view.html?idx=7833,청년문화예술패스 사업,,2024-11-30,"['기타지원', '청년', '한국문화예술위원회']"
드림스폰_일반장학금_40,,,https://www.dreamspon.com/scholarship/view.html?idx=7834,통일간호리더 간호장학 (2024년),,2024-12-04,"['장학금', '대학생', '전문대']"
드림스폰_일반장학금_41,,,https://www.dreamspon.com/scholarship/view.html?idx=7810,인제군 인재육성기금 장학 (2024년) **변경공고**,,2024-12-06,"['장학금', '고등학생', '대학생']"
드림스폰_일반장학금_42,,,https://www.dreamspon.com/scholarship/view.html?idx=7835,서울시 강서구 미취업청년 자격증 응시료 지원,,2024-12-10,"['기타지원', '청년', '지역기준']"
드림스폰_일반장학금_43,,,https://www.dreamspon.com/scholarship/view.html?idx=7836,영등포구 청년 국가자격시험 응시료 지원,,2024-12-10,"['기타지원', '청년', '지역기준']"
드림스폰_일반장학금_50,,,https://www.dreamspon.com/scholarship/view.html?idx=7811,포스텍 박사후연구원 펠로우십 (2025년 상반기),,2024-12-31,"['기타지원', '대학원생', '일반인']"
